row,sku
1,1170014
2,1170023
3,1170035
4,1170038
5,1170039
6,1220314
7,1220320
8,1220335
9,1220338
10,1361025
11,1361048
12,1361049
13,1440339
14,1460260
15,1470614
16,1470646
17,1470657
18,1470677
19,1520414
20,1520420
21,1520435
22,1520438
23,1550214
24,1550220
25,1550235
26,1550238
27,1570208
28,1570214
29,1570220
30,1570235
31,1570238
32,1570248
33,1570249
34,1570266
35,1570267
36,1570308
37,1570314
38,1570320
39,1570335
40,1570338
41,1570348
42,1570349
43,1570366
44,1570367
45,1590008
46,1590016
47,1590067
48,1660060
49,1750225
50,1840225
51,1860225
52,1880427
53,1880527
54,1970008
55,1970016
56,1970017
57,1970034
58,1970038
59,1970071
60,2020208
61,2020216
62,2020217
63,2020244
64,2020266
65,2020267
66,2030225
67,2030286
68,2030288
69,2030325
70,2030386
71,2030388
72,2140261
73,2240116
74,2240117
75,2240134
76,2240166
77,2240167
78,2260316
79,2260335
80,2260338
81,2260360
82,2340111
83,2340118
84,2340121
85,2420111
86,2420121
87,2420135
88,2420138
89,2420139
90,2430213
91,2600361
92,2660025
93,2660225
94,2660235
95,2660238
96,2660425
97,2660435
98,2660438
99,2710125
100,2710136
101,2710137
102,2710139
103,2710225
104,2710236
105,2710237
106,2710239
107,2710325
108,2710336
109,2710337
110,2710339
111,2750115
112,2750135
113,2750136
114,2750138
115,2750215
116,2750235
117,2750236
118,2750238
119,2800326
120,2810208
121,2820008
122,2880021
123,2880035
124,2880038
125,2880039
126,2921025
127,2921074
128,2921086
129,2921087
130,2921088
131,2921098
132,2921125
133,2921174
134,2921186
135,2921187
136,2921188
137,2921198
138,2921225
139,2921274
140,2921286
141,2921287
142,2921288
143,2921298
144,2921325
145,2921374
146,2921386
147,2921387
148,2921388
149,2921398
150,2922025
151,2922074
152,2922086
153,2922087
154,2922088
155,2922098
156,2922125
157,2922174
158,2922186
159,2922187
160,2922188
161,2922198
162,2990025
163,2990035
164,2990038
165,3040108
166,3040146
167,3040155
168,3040156
169,3040166
170,3040167
171,3110308
172,3110346
173,3110364
174,3110365
175,3110377
176,3160008
177,3160046
178,3160055
179,3160056
180,3160066
181,3160067
182,3170035
183,3170038
184,3190146
185,3190155
186,3190156
187,3190166
188,3190167
189,3260108
190,3260123
191,3260135
192,3260138
193,3270125
194,3270188
195,3270194
196,3320420
197,3320435
198,3320438
199,3340014
200,3340020
201,3340025
202,3340035
203,3340036
204,3340038
205,3340114
206,3340120
207,3340125
208,3340135
209,3340136
210,3340138
211,3390414
212,3390514
213,3390614
214,3390714
215,3410435
216,3410438
217,3410460
218,3510008
219,3550018
220,3550021
221,3550035
222,3630306
223,3630329
224,3640035
225,3640038
226,3640039
227,3640060
228,3640135
229,3640138
230,3640139
231,3640160
232,3680425
233,3680525
234,3710225
235,3710298
236,374N113
237,374N115
238,374N120
239,374N135
240,374N138
241,3760415
242,3760515
243,3760615
244,3800025
245,3800036
246,3800037
247,3800039
248,3800125
249,3800136
250,3800137
251,3800139
252,3800225
253,3800236
254,3800237
255,3800239
256,3820014
257,3820023
258,3820035
259,3820038
260,3860425
261,3860486
262,3860488
263,3870114
264,3870121
265,3870123
266,3870135
267,3870138
268,3880119
269,3880146
270,3880157
271,3880158
272,3880162
273,3880177
274,3880179
275,3880197
276,3970111
277,3970116
