1,Item,Page 17-18,Categories,Product Type,Name,Style,Display Name,Feature,Filter Tag,Short Description,Group Components,Long Description,CTN,Shipping Weight (LB),Product Dimension (Inch),Material,Material %1,Material %2,Size,Reference Image,Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Summary
7645,CM-AC6115GY,856,Living,Chair,TOMAR,Transitional,,,,"Accent Chair, Gray",,"Furniture of America TOMAR Transitional Accent Chair, Gray",1,59.8,"28 1/2""W X 35 1/4""D X 40"", (Seat Ht: 19"", Seat Dp: 24"")","Flannelette, Wood & Others",100% Polyester,,0,CM-AC6115GY.jpg,Gray,Contemporary Style,Wingback Design,Nailhead Trim,Pillows Included,Espresso Finish Legs,Available in 2 Colors,,,,,Cuddle up to this accent chair. The nailhead trim accentuates the wingback design while smooth fabric offers cushioned comfort. Available in gray or ivory. - -
7646,CM-AC6115IV,856,Living,Chair,TOMAR,Transitional,,,,"Accent Chair, Ivory",,"Furniture of America TOMAR Transitional Accent Chair, Ivory",1,59.8,"28 1/2""W X 35 1/4""D X 40"", (Seat Ht: 19"", Seat Dp: 24"")","Flannelette, Wood & Others",100% Polyester,,0,CM-AC6115IV.jpg,Ivory,Contemporary Style,Wingback Design,Nailhead Trim,Pillows Included,Espresso Finish Legs,Available in 2 Colors,,,,,Cuddle up to this accent chair. The nailhead trim accentuates the wingback design while smooth fabric offers cushioned comfort. Available in gray or ivory. - -
7647,CM-AC6183,856,Living,Chair,ODELIA,Contemporary,,,,Accent Chair,,Furniture of America ODELIA Contemporary Accent Chair,1,49.3,"31 3/4""W X 36""D X 37""H (Seat Ht: 18"", Seat Dp: 22"")",,100% Polyester,,0,CM-AC6183.jpg,Ivory,Transitional Style,Linen-like Fabric,Tufted Back,Button Tufting,Flared Fan Back,"Solid Wood, Others",Nailhead Trim,,,,"Elegant and classy, this comfortable accent chair features a button tufted backrest with side nailhead trim. Dense cushions upholstered in linen-like upholstery provide great comfort without sacrificing style. - -"
7648,CM-AC6185,856,Living,Chair,MEL,Contemporary,,,,Accent Chair,,Furniture of America MEL Contemporary Accent Chair,1,52.8,"34""W X 32""D x 29""H (Seat Ht: 19 1/2"", Seat Dp: 22"")",,,,0,CM-AC6185.jpg,Ivory,Contemporary Style,Linen-like Fabric,Nailhead Trim,Button Tufted,Solid Wood & Others*,Ivory,,,,,
7649,CM-AC6271BG-CH,856,Living,Chair,WILLOW,Traditional,,,,"Accent Chair, Beige",,"Furniture of America WILLOW Traditional Accent Chair, Beige",1,86.9,"37""W X 33 1/2""D X 48""H (Seat Ht: 20"", Seat Dp: 20 1/2"")",,100% Polyester,,0,CM-AC6271BG.jpg,Beige,Traditional Style,Wingback Design,Button Tufting,Rolled Arms,Cabriole Legs,Espresso Finish,Optional Ottoman,,,,"Create a sophisticated lounge air with these two pieces. The chair and ottoman showcase a refi ned style with wingback sides, nailhead trim and button tufting. The upholstered design comes in two color options paired with simple, espresso-finished ca briole legs. -"
7650,CM-AC6271BG-OT,856,Living,Ottoman,WILLOW,Traditional,,,,"Ottoman, Beige",,"Furniture of America WILLOW Traditional Ottoman, Beige",1,28.2,"27""W X 20""D X 19""H",,,,0,CM-AC6271BG.jpg,Beige,Traditional Style,Wingback Design,Cabriole Legs,Espresso Finish,Optional Ottoman,,,,,,"Create a sophisticated lounge air with these two pieces. The chair and ottoman showcase a refi ned style with wingback sides, nailhead trim and button tufting. The upholstered design comes in two color options paired with simple, espresso-finished ca briole legs. -"
7651,CM-AC6271TL-CH,856,Living,Chair,WILLOW,Traditional,,,,"Accent Chair, Teal",,"Furniture of America WILLOW Traditional Accent Chair, Teal",1,86.9,"37""W X 33 1/2""D X 48""H (Seat Ht: 20"", Seat Dp: 20 1/2"")",,100% Polyester,,0,CM-AC6271TL.jpg,Dark Teal,Traditional Style,Wingback Design,Button Tufting,Rolled Arms,Cabriole Legs,Espresso Finish,Optional Ottoman,,,,"Create a sophisticated lounge air with these two pieces. The chair and ottoman showcase a refi ned style with wingback sides, nailhead trim and button tufting. The upholstered design comes in two color options paired with simple, espresso-finished ca briole legs. -"
7652,CM-AC6271TL-OT,856,Living,Ottoman,WILLOW,Traditional,,,,"Ottoman, Teal",,"Furniture of America WILLOW Traditional Ottoman, Teal",1,28.2,"27""W X 20""D X 19""H",,,,0,CM-AC6271TL.jpg,Dark Teal,Traditional Style,Wingback Design,Cabriole Legs,Espresso Finish,Optional Ottoman,,,,,,"Create a sophisticated lounge air with these two pieces. The chair and ottoman showcase a refi ned style with wingback sides, nailhead trim and button tufting. The upholstered design comes in two color options paired with simple, espresso-finished ca briole legs. -"
7653,CM-AC6140BG,857,Living,Chair,SYBIL,Contemporary,,,,"Accent Chair, Beige",,"Furniture of America SYBIL Contemporary Accent Chair, Beige",1,56.67,"29""W X 34""D X 39""H (Seat Ht: 21"", Seat Dp: 20"")",,,,0,CM-AC6140.jpg,"Beige, Espresso",Contemporary Style,Padded Armrests,Plush Cushions,Ottoman Included,Solid Wood & Others*,Espresso Frame,Beige,,,,
7654,CM-AC6140BG-OT,857,Living,Ottoman,SYBIL,Contemporary,,,,"Ottoman, Beige",,"Furniture of America SYBIL Contemporary Ottoman, Beige",1,21,"25""W X 20""D X 19 1/2""H",,,,0,CM-AC6140OT.jpg,"Beige, Espresso",Contemporary Style,Plush Cushions,Ottoman Included,Solid Wood & Others*,Espresso Frame,Beige,,,,,
