1,Item,Page 17-18,Categories,Sub-Categories,Group Item,Group Components,Short Description,Long Description,Origin,CTN,Shipping Length (Inch),Shipping Width (Inch),Shipping Height (Inch),Shipping Volume (CuFt),Shipping Weight (LB),Product Dimension (Inch),Style,Material,Material %1,Material %2,Size,Name,Reference Image,Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Summary
2,CM7662CK-BED,5,Bedroom,Beds,Y,"CM7662CK-HB, CM7662CK-FB, CM7662CK-R",Cal.King Bed,Furniture of America ARIADNE Traditional Cal.King Bed,,3,0,0,0,25.9,232.98,"92""L X 86""W X 70 1/2""H",Traditional,,,,Cal.King,ARIADNE,CM7662.jpg,Rustic Natural Tone,Traditional Style,Button Tufted Padded Fabric Headboard,Intricate Wood Carvings,Matching Mirror Design,Felt-lined Top Drawers,Bun Feet,"Solid Wood, Wood Veneer, Others*",Rustic Natural Tone Finish,,,"Stylish enough for a queen and elegant enough for everyone else, this bedroom set offers a majestic flair that cannot be rivaled! The curvaceous, high headboard showcases a thick ornate trim that accents the fabric upholstery and its decorative butto n tufts. Each of the case goods feature fluted details along their sides, drawing the eye up to the moulded top and down to the elegant bun feet. With traditional elements to liven up any home, this bedroom set will transform your home into a palace. -"
15,CM7663CK-BED,6,Bedroom,Beds,Y,"CM7663CK-HB, CM7663CK-FB, CM7663CK-R",Cal.King Bed,Furniture of America LYSANDRA Transitional Cal.King Bed,,3,0,0,0,57.1,277.8,"110 1/4""L X 84""W X 71 1/2""H",Transitional,,,,Cal.King,LYSANDRA,CM7663.jpg,Rustic Natural Tone,Transitional Style,Sleigh Bed,Button Tufted Fabric Headboard and Footboard,Intricate Wood Carvings,Antique Inspired Drawer Pulls,Felt-lined Top Drawers,"Solid Wood, Wood Veneer, Others*",Rustic Natural Tone Finish,,,Luxury and style blends together to make this beautiful contemporary sleigh bedroom set. The fabric padded headboard and footboard provide warm comfort and paired button tufted details offer an extravagant finish. Case goods feature antique handles a nd the rustic natural wood finish creates a soothing bedroom environment. Make your sleeping area feel like a luxurious getaway with this extraordinary bedroom set! -
27,CM7661CK-BED,7,Bedroom,Beds,Y,"CM7661CK-HB, CM7661CK-FB, CM7661CK-R",Cal.King Bed,Furniture of America PERSEPHONE Transitional Cal.King Bed,,3,0,0,0,22.8,200.2,"90 3/4""L X 82 1/2""W X 65 1/2""H",Transitional,,,,Cal.King,PERSEPHONE,CM7661.jpg,Rustic Natural Tone,Transitional Style,Button Tufted Fabric Headboard,Intricate Wood Carvings,Camelback Design,Antique Inspired Drawer Pulls,Felt-lined Top Drawers,"Solid Wood, Wood Veneer, Others*",Rustic Natural Tone Finish,,,"Ornately carved case goods pair beautifully with the dramatic camelback headboard in this traditional style bedroom collection and its rustic natural tone finish. Lined with wood carved details and upholstered in button tufted fabric, there is no den ying the impressive feel of this luxurious bed. Equally impressive case goods feature moulded trim details and intricate bun feet for an overall design that exudes elegance! -"
52,CM7855CK-BED,9,Bedroom,Beds,Y,"CM7855CK-HB, CM7855CK-FB, CM7855CK-R",Cal.King Bed,Furniture of America GANYMEDE Transitional Cal.King Bed,,3,0,0,0,18.6,143.88,"90 3/8""L X 79 3/4""W X 58""H",Transitional,,,,Cal.King,GANYMEDE,CM7855.jpg,Gray,Transitional Style,Wooden Headboard Designs,English Dovetail Drawer Construction,Felt-Lined Top Drawers,"Solid Wood, Wood Veneer, Others*",Gray Finish,,,,,"When you think of country farmhouse this lovely bedroom collection comes to mind. The soothing gray finish has a rustic, weathered look that goes beautifully with the vertical panel detailing.Flat panel drawers compliment the simple design and prov ide an outstanding amount of storage space. With its gorgeous wooden panel headboard, this charming design will create an undeniably cozy atmosphere. -"
93,CM7578CK-BED,12,Bedroom,Beds,Y,"CM7578CK-HB, CM7578CK-FB, CM7578CK-R",Cal.King Bed,Furniture of America ROISIN Transitional Cal.King Bed,,3,0,0,0,33.1,270.87,"93 1/4""L X 82 1/4""W X 59 1/4""H",Transitional,,,,Cal.King,ROISIN,CM7578.jpg,Wire-Brushed Black,Transitional Style,Storage Platform Bed,Button Tufted Padded Fabric Headboard,Nailhead Trim,2 Drawers in Footboard,Felt-lined Top Drawers,"Solid Wood, Wood Veneer, Others*",Wire-Brushed Black Finish,,,"Wake up to the beauty of this glorious transitional style bed collection. The wire-brushed black finish adds a rustic touch while the antique inspired ring drawer pulls add a vintage vibe. The dramatic, fabric upholstered headboard showcases tufted d etailing and nailhead trim border for a look that will warmly welcome you home. Don’t forget to utilize the built-in footboard drawers to keep your bedroom neat and tidy at all times. -"
109,CM7697CK-BED,13,Bedroom,Beds,Y,"CM7697CK-HB, CM7697CK-FB, CM7697CK-R",Cal.King Bed,Furniture of America Orlaith Transitional Cal.King Bed,,3,0,0,0,21,252.8,"89 3/4""L X 78 7/8""W X 57""H",Transitional,"Linen-like Fabric, Solid Wood, Wood Veneer & Others",,,Cal.King,Orlaith,CM7697.jpg,Walnut/Ivory,Transitional Style,Linen-like Fabric w/ Nailhead Trim,2 Drawers in Footboard,Recessed Front Panels,Wooden Bar Handles,Felt-Lined Top Drawers,Solid Wood/Wood Veneer/Others,Walnut Finish,,,"Grab some shut-eye without a care in the world. The beauty of this set emanates directly from the statement bed, which showcases bold nailhead trim along the padded linen-like fabric grids on its headboard and mirror. Extra storage space can be found  within any of the case goods and the footboard of the bed itself. The drawer front panels feature a recessed fascia adorned with beautiful wooden bar pulls. -"
128,CM7577CK-BED,14,Bedroom,Beds,Y,"CM7577CK-HB, CM7577CK-FB, CM7577CK-R4",Cal.King Bed,Furniture of America Hutchinson Rustic Cal.King Bed,,3,0,0,0,23,201.02,"90""L X 81 3/4""W X 58""H",Rustic,"Linen-like Fabric, Solid Wood, Wood Veneer & Others",,,Cal.King,Hutchinson,CM7577.jpg,Rustic Natural Tone,Transitional Style,Wingback Headboard with Button Tufting,2 Drawer Night Stand,Metal Handles,Felt-Lined Top Drawers,Solid Wood/Wood Veneer/Others,Rustic Natural Tone Finish,,,,Set the scene for serene relaxation with this beautiful set and its gorgeous rustic natural tone finish. Diamond tufting can be found all along the fabric padded upholstered wingback style headboard while the wood grain emphasizes the natural finish.  The simple design speaks volumes with its elegant centerpiece and supporting case goods. -
149,CM7576CK-BED,16,Bedroom,Beds,Y,"CM7576CK-HB, CM7576CK-FB, CM7576CK-R4",Cal.King Bed,Furniture of America Hankinson Rustic Cal.King Bed,,3,0,0,0,26.6,234.51,"90 1/4""L X 77""W X 56""H",Rustic,"Solid Wood, Wood Veneer & Others",,,Cal.King,Hankinson,CM7576.jpg,Rustic Natural Tone,Transitional Style,Slatted Wingback Headboard,2 Drawer Night Stand,Metal Handles,Felt-Lined Top Drawers,Solid Wood/Wood Veneer/Others,Rustic Natural Tone Finish,,,,"With a look all its own, this set demands attention. The rustic natural tone finish enhances the slatted, wingback style headboard and emphasizes each drawer panel. Matching case goods are each equipped with ball bearing metal glides and felt-lined t op drawers. -"
171,CM7072CK-BED,18,Bedroom,Beds,Y,"CM7072CK-HBFB, CM7072CK-R, CM7072CK-DR",Cal.King Bed,Furniture of America ELKTON Cottage Cal.King Bed,,3,0,0,0,20.6,162.8,"89 1/8""L X 79 3/8""W X 55 1/2""H",Cottage,,,,Cal.King,ELKTON,CM7072.jpg,Oak,Transitional Style,Storage Platform Bed,Wood Detailed Panels,Felt-lined Top Drawers,2 Drawers in Footboard,Antique Handle Pulls,"Solid Wood, Wood Veneer, Others",Headboard with Top Shelf Oak Finish,,,"Add some depth and dimension to your bedroom area with this nature-themed collection. A cabin-like inspiration is evident throughout these bedroom pieces with its natural wood grain finish. The case goods allow for storage of bedroom items paired wit h the matching headboard that features built-in shelves, continuing the theme of convenience and style. -"
187,CM7252CK-BED,18,Bedroom,Beds,Y,"CM7252CK-HB, CM7252CK-FB, CM7252CK-R",Cal.King Bed,Furniture of America Ribeira Cottage Cal.King Bed,,3,0,0,0,38.9,191.8,"95 1/2""L X 80 3/4""W X 58""H",Cottage,,,,Cal.King,Ribeira,CM7252.jpg,Espresso,Transitional Style,2 Drawers in Footboard,Storage Platform Bed,Felt-lined Top Drawers,Curved & Plank Style H/B,"Solid Wood, Wood Veneer, Others",Dark Walnut Finish,,,,"When it's time for a new look, opt for this stunning set. With contemporary styling and a bold color finish, the options of mixing and matching this piece is endless! Featuring an arched panel headboard and carved wood detailing, the bed structure is  completed with a low profile footboard. For a no-fail finish, pair this piece with the coordinating case goods for a unique bedroom update. -"
