1,Item,Page 17-18,Categories,Sub-Categories,Tag #1,Group Item,Group Components,Short Description,Long Description,Origin,CTN,Shipping Length (Inch),Shipping Width (Inch),Shipping Height (Inch),Shipping Volume (CuFt),Shipping Weight (LB),Product Dimension (Inch),Style,Material,Material %1,Material %2,Size,Name,Reference Image,Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Summary
4743,CM3133BN,287,Dining,Benches,,,,Bench,Furniture of America HOLCROFT Cottage Bench,VN,1,59,19,6.5,4.2,38,"56""W X 16""D X 18 1/2""H",Cottage,,,,0,HOLCROFT,CM3133BN.jpg,"Antique Cherry, Beige",,"Cottage Style""",Nailhead Trim,Turned Legs,Padded Fabric Seat,"Solid Wood, Wood Veneer, Others*",Antique Cherry Finish,,,,"Bring some classy inspiration into your dining room with this warmed toned wood bench featuring stylish turned legs. Seat is beautifully wrapped with linen-like upholstery, making it the perfect addition to any comfortable dining area. - -"
4851,CM3352BN,302,Dining,Benches,,,,Bench,,VN,1,56.2,20.5,6.9,4.6,44,"54""W X 18""D X 19 1/2""H",Contemporary,"Leatherette, Solid Wood, Wood Veneer & Others",,,0,Sturgis,CM3352BN.jpg,Dark Gray,Contemporary Style,Solid Wood/Wood Veneer/Others,Nailhead Trim,Dark Gray Finish,Bench,,,,,,
4856,CM3020BN,303,Dining,Benches,,,,Bench,Furniture of America DIOCLES Contemporary Bench,VN,1,53.3,23.5,8.3,6,42.9,"50 1/2""W X 20 1/2""D X 21""H",Contemporary,,,,0,DIOCLES,CM3020BN.jpg,"Silver, Light Gray",Contemporary Style,Flannelette Cushions,Button Tufted Chair Backs,"Solid Wood, Wood Veneer, Others*",Silver Finish,,,,,,"A glamorous design that will amaze guests of all ages, this dining collection is a superb addition to any formal dining room. The lengthy bench with its tufted seat and soft coloring adds a beautiful and elegant touch to the already charming silver f inish. -"
4892,CM3538BN,311,Dining,Benches,,,,Bench W/Flax Fabric,Furniture of America BRENTFORD Transitional Bench W/Flax Fabric,CN,1,45,17.3,6,2.7,25.4,"44""L X 16""W X 19 1/2""H",Transitional,"Fabric, Solid Wood, Wood Veneer & Others",,,0,BRENTFORD,CM3538T.jpg,Ivory Fabric,,,,,,,,,,,
4901,CM3152BN,314,Dining,Benches,,,,Bench,Furniture of America MEAGAN I Transitional Bench,VN,1,50,18.5,6.8,3.6,48.4,"48""W X 16""D X 18 1/2""H",Transitional,,,,0,MEAGAN I,CM3152BN.jpg,"Brown Cherry, Espresso",Transitional Style,Tapered Legs,Padded Leatherette Cushions,"Solid Wood, Wood Veneer, Others*",Brown Cherry Finish,,,,,,"Create a contemporary design with rustic appeal with this dining bench. The seat is upholstered in sleek leatherette, combining trending style with modern comfort. - -"
4904,CM3136BN,316,Dining,Benches,,,,Bench,Furniture of America GRISELDA Transitional Bench,VN,1,68,21,5.5,4.5,55,"65""W X 16""D X 18""H",Transitional,,,,0,GRISELDA,CM3136BN.jpg,Brown Cherry,Transitional Style,Plank Design,Middle Support Legs,Turned Legs,"Solid Wood, Wood Veneer, Others*",Brown Cherry Finish,,,,,"Underplayed stylish elements and refined silhouettes provide a cozy appeal on this lengthy bench. Turned legs and middle support legs offer a hint of flair, that when paired with the matching table, becomes the perfect showcase of transitional style  for your home. -"
4909,CM3914BN,318,Dining,Benches,,,,Bench,Furniture of America FOXVILLE Transitional Bench,VN,1,49.5,19,5.8,3.1,33,"48 1/4""W X 18""D X 19 1/4""H",Transitional,"Leatherette, Solid Wood, Wood Veneer & Others",,,0,FOXVILLE,CM3914T.jpg,Cherry,Transitional Style,"Solid Wood, Wood Veneer & Others",Cherry Finish,,,,,,,,"This dining table showcases an Acacia wood construction, classic and natural, sure to add a stylish touch to your dining décor. The bench features a cherry finish and padded leatherette seat. - -"
4917,CM3465BN,320,Dining,Benches,,,,Bench,Furniture of America PAULINA Traditional Bench,CN,1,59.5,20.5,10,7.1,45.1,"56""W X 17 3/4""D X 19 1/2""H",Traditional,,,,0,PAULINA,CM3465T.jpg,"Rustic Walnut, Espresso",Traditional Style,Scroll Details,Padded Leatherette Seat Cushions,"Solid Wood, Wood Veneer, Others*",Rustic Walnut Finish,,,,,,"A traditional design with hints of medieval flair, this beautiful dining set features rich hues and ornate details that are perfect for fine dining. Sit comfortably upon the brown leatherette bench that come paired with stunning metal scrollwork and  classic nailhead trim. This collection is finished in rustic walnut for a cozy atmosphere full of warmth and charm. -"
4921,CM3829BN,321,Dining,Benches,Padded Fabric Bench,,,Fabric Bench,Furniture of America GIANNA Cottage Fabric Bench,CN,1,75,22.5,8,7.8,44.7,"72""W X 19""D X 19 3/4""H",Cottage,"Leatherette, Solid Wood, Wood Veneer & Others",,,0,GIANNA,CM3829BN.jpg,Rustic Pine,Industrial Style,Bold & Sturdy Design,Solid Pine Wood,Rustic Pine Finish,,,,,,,Dine in rustic elegance with this gorgeous antique-inspired collection. The weathered finish of the entire set draws attention to the sturdy solid wood framework while providing the necessary support for a worry-free dinner setting. The paired chairs  and bench feature an earthy toned fabric that enhances the wood elements. -
4922,CM3829BN-W,321,Dining,Benches,,,,Wood Bench,Furniture of America GIANNA Cottage Wood Bench,CN,1,56.5,20.5,6.8,4.6,36.6,"53""W X 17""D X 18""H",Cottage,,,,0,GIANNA,CM3829BN-W.jpg,Rustic Pine,,,"Cottage Style""",Plank Design,Bold & Sturdy,Solid Pine Wood,Rustic Pine,,,,Dine in rustic elegance with this gorgeous antique-inspired collection. The weathered finish of the bench draws attention to the sturdy solid wood framework while providing the necessary support for a worry-free dinner setting. It features an earthy  toned fabric that enhances the wood elements of the entire set.  -
