1,Item,,Description,Qty Now,Qty Coming in 7 Days,Qty Coming in 30 Days,,,,Cat 15-16,,Cat 16-17,,
81,AP-2024-C3,,"[VALUE] REG $53, OIL PAINTING - VENICE GONDOLA  (13-P585)",,,,,,847289010036,.,,.,,D
82,AP-3648-A3,,[DSC] OIL PAINTING - ON THE TERRACE  (13-P582),,,,,,847289010289,.,,.,,D
83,AP-A17,,DECOR PAINTING ON CANVAS  48W X 36H  -  PASSION (14-P664),,,,,,847289045809,.,,.,,D
84,AP-A19,,[DSC] DECOR PAINTING ON CANVAS  48W X 36H  -  COLORFUL TOWN II  (13-P589),,,,,,847289045823,.,,.,,D
109,CM1027BR-1,,TWIN DAYBED 2 PC. ARM (18-P252),23,,,,,841403129222,MIS,,252,,D
110,CM1027BR-2,,"TWIN DAYBED FRAME, RAIL, 30 PC. SLATS (18-P252)",23,,,,,841403129239,MIS,,252,,D
112,CM1027GR-1,,Twin Daybed 2 Pc. Side Panels (17-P254),,,,,,841403106469,254,,DSC,,D
113,CM1027GR-2,,"Twin Daybed Trundle, Frame, Rail, 30 Pc. Slats (17-P254)",,,,,,841403106476,254,,DSC,,D
150,CM1603WH-TR,,"TRUNDLE, WHITE (17-P261)",,,,,,847289052548,261,,DSC,,D
177,CM1737GY-1,,"Daybed Headboard, Footboard, Slats (17-P256)",,,,,,841403149695,256,,DSC,,D
178,CM1737GY-2,,Daybed Rail (17-P256),,,,,,841403149701,256,,DSC,,D
193,CM1914,,Daybed (17-P260),,,,,,841403132222,260,,DSC,,D
194,CM1914-TR,,Trundle (17-P260),,,,,,841403132239,260,,DSC,,D
254,CM1956RD-1,,DAYBED 2 PC. SIDE PANELS (18-P261),40,,,,,847289055976,255,,261,,D
255,CM1956RD-2,,"DAYBED FRAME, RAIL, TRUNDLE, 28 PC. SLATS (18-P261)",42,,,,,847289055983,255,,261,,D
