1,Item,Page 17-18,Categories,Product Type,Feature,Group Components,Short Description,Long Description,Origin,CTN,Shipping Length (Inch),Shipping Width (Inch),Shipping Height (Inch),Shipping Volume (CuFt),Shipping Weight (LB),Product Dimension (Inch),Style,Material,Material %1,Material %2,Size,Name,Reference Image,Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Summary
5735,CM4121C,491,Living,Coffee Table,,,Coffee Table,Furniture of America ZOYA Contemporary Coffee Table,TW,1,40.3,37.8,5.8,5.1,60.28,"34""L X 34""W X 17""H",Contemporary,"Metal, Tempered Glass",,,0,ZOYA,CM4121.jpg,Gold,Contemporary Style,8mm Tempered Glass,Z-shaped Metal Legs,Gold,,,,,,,"The chrome legs of this contemporary coffee table is designed in a Z shape, while the top is tempered beveled glass. - -"
5736,SM2271-LV,491,Living,Love Seat,,,Love Seat,Furniture of America VERDANTE Transitional Love Seat,US,1,66,41,40,62.6,110,"64""L X 39""W X 38""H",Transitional,Plush microfiber,100% Polyester,100% polyester,0,VERDANTE,SM2271.jpg,Emerald Green,Transitional Style,Microfiber,Nailhead Trim,Cushion Seating,Gold Finished Legs,High-Density Foam Cushions,Pillows Included,Emerald Green,,,"Add bold coloring to your living space with this gorgeous emerald green sofa set. The plush microfiber upholstery is soft to the touch and features foam-filled padding for a comfortably firm seat. Style wise, this collection features dramatic curved  arms and a raised panel back accentuated with gorgeous nailhead trim. The accent pillows are fashioned with a shimmering gold tint and showcase lovely designs for a piece that represents chic design with a fun twist. -"
5737,SM2271-SF,491,Living,Sofa,,,Sofa,Furniture of America VERDANTE Transitional Sofa,US,1,93,41,40,88.3,142,"91""L X 39""W X 38""H",Transitional,Plush microfiber,100% Polyester,100% polyester,0,VERDANTE,SM2271.jpg,Emerald Green,Transitional Style,Microfiber,Nailhead Trim,Cushion Seating,Gold Finished Legs,High-Density Foam Cushions,Pillows Included,Emerald Green,,,"Add bold coloring to your living space with this gorgeous emerald green sofa set. The plush microfiber upholstery is soft to the touch and features foam-filled padding for a comfortably firm seat. Style wise, this collection features dramatic curved  arms and a raised panel back accentuated with gorgeous nailhead trim. The accent pillows are fashioned with a shimmering gold tint and showcase lovely designs for a piece that represents chic design with a fun twist. -"
5738,SM3057-LV,492,Living,Love Seat,,,Love Seat,Furniture of America BELTRAN Transitional Love Seat,US,1,65,40,38,56.3,110,"64""L X 40""W X 38""H",Transitional,,100% POLYESTER,100% POLYESTER,0,BELTRAN,SM3057.jpg,"Blue, Beige",Transitional Style,High-Density Foam Cushions,Sloped Style Arms,Nailhead Trim,Pillows Included,Fabric,Blue & Beige,,,,This contemporary style sofa set features clean lines with classic silhouettes to fit a number of décor styles. The luxurious chenille upholstery conforms to the body and provides a plush seating experience as multi-colored pillows catch the attentio n of friends and family. The track arms feature a sloping arched design for a stylish collection that will keep the whole family happy.  -
5739,SM3057-SF,492,Living,Sofa,,,Sofa,Furniture of America BELTRAN Transitional Sofa,US,1,88,41,33,76.5,140,"87""L X 40""W X 38""H",Transitional,,100% POLYESTER,100% POLYESTER,0,BELTRAN,SM3057.jpg,"Blue, Beige",Transitional Style,High-Density Foam Cushions,Sloped Style Arms,Nailhead Trim,Pillows Included,Fabric,Blue & Beige,,,,This contemporary style sofa set features clean lines with classic silhouettes to fit a number of décor styles. The luxurious chenille upholstery conforms to the body and provides a plush seating experience as multi-colored pillows catch the attentio n of friends and family. The track arms feature a sloping arched design for a stylish collection that will keep the whole family happy.  -
5740,SM3058-LV,493,Living,Love Seat,,,Love Seat,Furniture of America BELTRAN Transitional Love Seat,US,1,65,41,33,56.3,110,"64""L X 40""W X 38""H",Transitional,,100% POLYESTER,100% POLYESTER,0,BELTRAN,SM3058.jpg,"Orange, Light Gray",Transitional Style,High-Density Foam Cushions,Sloped Style Arms,Nailhead Trim,Pillows Included,Fabric,Orange & Light Gray,,,,This contemporary style sofa set features clean lines with classic silhouettes to fit a number of décor styles. The luxurious chenille upholstery conforms to the body and provides a plush seating experience as multi-colored pillows catch the attentio n of friends and family. The track arms feature a sloping arched design for a stylish collection that will keep the whole family happy.  -
5741,SM3058-SF,493,Living,Sofa,,,Sofa,Furniture of America BELTRAN Transitional Sofa,US,1,88,41,33,76.5,140,"87""L X 40""W X 38""H",Transitional,,100% POLYESTER,100% POLYESTER,0,BELTRAN,SM3058.jpg,"Orange, Light Gray",Transitional Style,High-Density Foam Cushions,Sloped Style Arms,Nailhead Trim,Pillows Included,Fabric,Orange & Light Gray,,,,This contemporary style sofa set features clean lines with classic silhouettes to fit a number of décor styles. The luxurious chenille upholstery conforms to the body and provides a plush seating experience as multi-colored pillows catch the attentio n of friends and family. The track arms feature a sloping arched design for a stylish collection that will keep the whole family happy.  -
5742,CM4230CRM-C,494,Living,Coffee Table,,,"Coffee Table, Chrome","Furniture of America SUNDANCE Contemporary Coffee Table, Chrome",TW,1,53.5,30.5,9.2,8.7,84,"47 1/2""L X 23 1/2""W X 19""H",Contemporary,"Metal, Mirror",,,0,SUNDANCE,CM4230CRM.jpg,Chrome,Contemporary Style,Metal Tube Structure,Extravagant Style,Curved X-shape Frame,5mm Mirror Top,Chrome or Brass,,,,,"Sleek with carefully ""X curved framework accented with spacious table top space. This piece is detailed with smoke mirror panels to perfectly encompass its unique radiance. - -"
5745,SM2263-SECTIONAL,494,Living,Sectional,,"SM2263-LAF, SM2263-RAF",Sectional,Furniture of America BETRIA Transitional Sectional,,2,0,0,0,179.4,283,"136""L X 98""W X 37""H (Seat Ht: 19"", Seat Dp: 25"")",Transitional,,,,0,BETRIA,SM2263.jpg,Off-White,Transitional Style,Crystal-like Acrylic Buttons,High-Shine Fabric,Sloped Track Arms,Welting Trim,Pillows Included,Off-White,,,,"Make your living room shine and sparkle with this gorgeous contemporary sectional. Upholstered in a glitter-like shined fabric for a sleek modern appeal, the sectional provides a wide seating area for you and your guests. Sloped armrests and angled b ackrests are unique designs that make this sectional pop with little effort. -"
5746,SM2288-LV,495,Living,Love Seat,ALESSANDRA,,Love Seat,Furniture of America ALESSANDRA Transitional Love Seat,US,1,73,40,38,64.2,113,"72""L X 39""W X 37""H",Transitional,SYNTHETHIC,100% Polyester,100% polyester,0,ALESSANDRA,SM2288.jpg,Silver,Transitional Style,Silky Fabric,Nailhead Trim,High-Density Foam Cushions,Pillows Included,Silver,,,,,A quick glimpse of this luxurious seating collection brings to mind sophistication and elegance. Beautiful nailhead trim lines the flared arms and straight lower panel while silky cream-colored fabric wraps tightly around the durable hardwood frame.  The smooth waves of the camelback structure add a whimsical touch that’s amplified by the paired patterned pillows. -
