1,Item,Categories,Product Type,Display Name,Filter Tags,Group Components,Short Description,Long Description,Origin,CTN,Shipping Length (Inch),Shipping Width (Inch),Shipping Height (Inch),Shipping Volume (CuFt),Shipping Weight (LB),Product Dimension (Inch),Style,Material,Material %1,Material %2,Size,Name,Reference Image,Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Summary
7467,CM-OS2588-SET,Outdoor,Sectional,Sectional w/ Table,,"CM-OS2588-1, CM-OS2588-2, CM-OS2588-T",Patio Sectional w/ Table,Furniture of America SELINA Contemporary Patio Sectional w/ Table,,3,0,0,0,93.1,176,"53 7/8""L x 31 1/2""W x 29 7/8""H",Contemporary,,,,0,SELINA,CM-OS2588.jpg,Gray,Contemporary Style,5mm Tempered Glass Top,Gray Fabric Cushions,Aluminum Frame,UV & Water Resistant,Gray Wicker,,,,,"Plenty of space for backyard parties, this outdoor sectional offers spacious seating areas for you and your guests. This L-shaped sectional is perfectly framed around a patio table, all built on a dark wicker-like frame. Whether you池e having a large  backyard BBQ or an intimate get-together with loved ones, this set is the perfect addition! -"
7469,CM-OS2586-CH-2PK,Outdoor,Arm Chair,,,,Arm Chair (2/CTN),Furniture of America MONICA Contemporary Arm Chair (2/CTN),CN,1,47.6,30.1,15,12.5,57.2,"28""L X 34 7/8""W X 33""H (Seat Ht: 17 1/8"", Seat Dp: 21 1/4"")",Contemporary,,,,0,MONICA,CM-OS2586.jpg,"Gray, Oak",,,,,,,,,,,
7470,CM-OS2586-LV,Outdoor,Love Seat,,,,Patio Love Seat,Furniture of America MONICA Contemporary Patio Love Seat,CN,1,48.4,30.1,15,12.6,53.9,"52""L X 34 7/8""W X 33""H (Seat Ht: 17 1/8"", Seat Dp: 21 1/4"")",Contemporary,,,,0,MONICA,CM-OS2586.jpg,"Gray, Oak",Contemporary Style,Plank Style Design,Gray Fabric Cushions,Aluminum Frame,UV & Water Resistant,Gray Wicker,,,,,"Unwind after a long week by relaxing in your backyard with this gorgeous outdoor set. Between lounging with a good book and spending time with company, this patio set offers comfort and style for any experience. The wicker-like frame is perfectly com plemented with light wood finished accents for a simple yet chic touch. -"
7471,CM-OS2586-T,Outdoor,Coffee Table,,,"CM-OS2117-1, CM-OS2117-2",Coffee Table,Furniture of America MONICA Contemporary Coffee Table,CN,1,48.5,24.6,4.2,2.9,39.6,"47 1/4""L X 23 5/8""W X 16 7/8""H",Contemporary,,,,0,MONICA,CM-OS2586.jpg,Oak,Contemporary Style,Plank Style Design,Aluminum Frame,UV & Water Resistant,Gray Wicker,,,,,,"Unwind after a long week by relaxing in your backyard with this gorgeous outdoor set. Between lounging with a good book and spending time with company, this patio set offers comfort and style for any experience. The wicker-like frame is perfectly com plemented with light wood finished accents for a simple yet chic touch. -"
7474,CM-OS2117-SET,Outdoor,Canopy Daybed,,,,Patio Canopy Daybed,Furniture of America ARIA Contemporary Patio Canopy Daybed,,2,0,0,0,99.5,167.5,"86 5/8""L X 43""W X 70""H (SEAT HT: 18""H, SEAT DP: W/ CUSHION: 18"", W/O CUSHION: 27"")",Contemporary,"Aluminum, Fabric, Faux Rattan",100% Solution Dyed Polyester,,0,ARIA,CM-OS2117.jpg,Light Brown Wicker/White Awning/Turquoise Cushion,Contemporary Style,Turquoise Fabric Cushions,Includes 3 Ottomans and 6 Pillows,UV & Water Resistant,White Fabric Awning,Light Brown Wicker,,,,,Stretch out and bask in the fresh outdoors atop this versatile patio sectional! Separate the ottomans for a spacious seating area or push everything together to make an outdoor daybed. Let the curved fabric awning provide either shade from the sun or  shelter from the elements so you can enjoy the outdoors all year round! -
7477,CM-OS1821BR-SET,Outdoor,Sectional,,,"CM-OS1821BR-1, CM-OS1821BR-2","Patio Sectional, Brown","Furniture of America ABION Contemporary Patio Sectional, Brown",,2,0,0,0,59.8,123,"92""L X 92""W X 26""H",Contemporary,"Aluminum, Fabric, Faux Rattan",100% Polyester,,0,ABION,CM-OS1821BR.jpg,"Brown Cushions, Espresso Frame",Contemporary Style,Includes Ottoman & Accent Pillows,UV & Water Resistant,Brown or Ivory Fabric Seats,Espresso Wicker Frame,,,,,,Style your outdoor oasis with this delightful two-tone sectional and ottoman set. The light fabric cushions contrast beautifully with the espresso wicker frame while ensuring ample relaxation is possible. Ottoman and accent pillows included. - -
7480,CM-OS1821IV-SET,Outdoor,Sectional,,,"CM-OS1821IV-1, CM-OS1821IV-2","Patio Sectional, Ivory","Furniture of America ABION Contemporary Patio Sectional, Ivory",,2,0,0,0,59.8,123,"92""L X 92""W X 26""H",Contemporary,"Aluminum, Fabric, Faux Rattan",100% Polyester,,0,ABION,CM-OS1821IV.jpg,"Ivory Cushions, Espresso Frame",Contemporary Style,Includes Ottoman & Accent Pillows,UV & Water Resistant,Brown or Ivory Fabric Seats,Espresso Wicker Frame,,,,,,Style your outdoor oasis with this delightful two-tone sectional and ottoman set. The light fabric cushions contrast beautifully with the espresso wicker frame while ensuring ample relaxation is possible. Ottoman and accent pillows included. - -
7481,CM-OS2107,Outdoor,Canopy Daybed,,,,Patio Canopy Daybed,Furniture of America AIDA Contemporary Patio Canopy Daybed,CN,1,61,44.1,26.8,41.7,90,LOVESEAT: 59 3/4猫 X 43 1/2埜 X 28禰 OTTOMAN: 49猫 X 33 1/4埜 X 14 1/2禰,Contemporary,,,,0,AIDA,CM-OS2107.jpg,"Gray, White",Contemporary Style,White Fabric Awning,Beige Fabric Cushions,Includes 3 Pillows & 1 Ottoman,UV & Water Resistant,Gray Wicker,,,,,"Curl up with your favorite book while this outdoor loveseat痴 awning shades you from the sun, or pull the large ottoman close to turn your seat into an outdoor bed! The versatile use of this outdoor seating set makes it perfect for lounging out in th e sun or bringing your friends over for a fun night out. Come rain or shine, this set is a great choice for your relaxing and seating needs! -"
7485,CM-OS1818-SET,Outdoor,Sectional,Sectional w/ Ottoman,,"CM-OS1818-1, CM-OS1818-2, CM-OS1818-AC",Patio Sectional w/ Ottoman,Furniture of America DAVINA Contemporary Patio Sectional w/ Ottoman,,3,0,0,0,46.5,207,"51 1/8""L x 29 1/2""W x 30 3/4""H",Contemporary,,,,0,DAVINA,CM-OS1818.jpg,"Brown, Beige",Contemporary Style,Beige Fabric Cushions,Includes Ottoman,Aluminum Frame,UV & Water Resistant,Brown Wicker,,,,,Make sure to have plenty of room for everyone to visit with this outdoor seating set! The sofa and loveseat combination easily meet at the end table. Stretch out on the foam-filled cushions or settle back in the armchair and enjoy your fun in the sun ! -
7486,CM-OS2116,Outdoor,Seating Set,,,,5 Pc. Patio Set w/ 2 Tables,,CN,1,90.5,38.8,34,69,216.5,"AC: 31 1/8""L X 35""W X 26 3/4""   CR: 31 1/8""L X 31 1/8""W X 26 3/4""   CH: 31 1/8""L X 25 1/8""W X 26 3/4""   E: 24 1/4""L X 24 1/4"" X 18 1/2""H",Contemporary,"Aluminum, Fabric, Faux Rattan",,,0,Lorena,CM-OS2116.jpg,Gray Wicker/Green Cushion,Contemporary Style,Includes 2 End Tables,UV & Water Resistant,Green Fabric Cushions,5mm Tempered Glass,Gray Wicker,,,,,
