1,ITEM,PAGE,DESCRIPTION,CUFT,WEST NET,Dove Price
2,CM7662Q,5,Queen Bed,20.4,$499 ,$998 
3,CM7662CK,5,Cal.King Bed,25.9,$579 ,"$1,158 "
4,CM7662EK,5,E.King Bed,25,$579 ,"$1,158 "
5,CM7661N,5,Night Stand,11.8,$189 ,$378 
6,CM7661D,5,Dresser,36.7,$469 ,$938 
7,CM7662M,5,Mirror,5.9,$123 ,$246 
8,CM7661C,5,Chest,31.3,$349 ,$698 
9,CM7663Q,6,Queen Bed,46.5,$619 ,"$1,238 "
10,CM7663CK,6,Cal.King Bed,57.1,$739 ,"$1,478 "
11,CM7663EK,6,E.King Bed,56.3,$739 ,"$1,478 "
12,CM7661N,6,Night Stand,11.8,$189 ,$378 
13,CM7661D,6,Dresser,36.7,$469 ,$938 
14,CM7661M,6,Mirror,4.8,$123 ,$246 
15,CM7661C,6,Chest,31.3,$349 ,$698 
16,CM7661Q,7,Queen Bed,18,$499 ,$998 
17,CM7661CK,7,Cal.King Bed,22.8,$599 ,"$1,198 "
18,CM7661EK,7,E.King Bed,22,$599 ,"$1,198 "
19,CM7661N,7,Night Stand,11.8,$189 ,$378 
20,CM7661D,7,Dresser,36.7,$469 ,$938 
21,CM7661M,7,Mirror,4.8,$123 ,$246 
22,CM7661C,7,Chest,31.3,$349 ,$698 
23,CM7856Q,8,"Queen Bed, Leatherette H/B",16.5,$249 ,$498 
24,CM7856CK,8,"Cal.King Bed, Leatherette H/B",20.1,$292 ,$584 
25,CM7856EK,8,"E.King Bed, Leatherette H/B",20.1,$292 ,$584 
26,CM7855N,8,Night Stand,9.9,$119 ,$238 
27,CM7855D,8,Dresser,28.2,$279 ,$558 
28,CM7855M,8,Mirror,3.6,$72 ,$144 
29,CM7855C,8,Chest,26.4,$249 ,$498 
30,CM7855Q,9,Queen Bed,15.2,$219 ,$438 
31,CM7855CK,9,Cal.King Bed,18.6,$259 ,$518 
32,CM7855EK,9,E.King Bed,18.5,$259 ,$518 
33,CM7855N,9,Night Stand,9.9,$119 ,$238 
34,CM7855D,9,Dresser,28.2,$279 ,$558 
35,CM7855M,9,Mirror,3.6,$72 ,$144 
36,CM7855C,9,Chest,26.4,$249 ,$498 
37,CM7831Q,10,"Queen Bed, Wooden Headboard",22.7,$349 ,$698 
38,CM7831CK,10,"Cal.King Bed, Wooden H/B",25.9,$379 ,$758 
39,CM7831EK,10,"E.King Bed, Wooden H/B",26.7,$379 ,$758 
40,CM7831F,10,"Full Bed, Wooden H/B",20.7,$339 ,$678 
41,CM7831N,10,Night Stand,15.1,$158 ,$316 
42,CM7831D,10,Dresser,39.8,$399 ,$798 
43,CM7831M,10,Mirror,8.2,$142 ,$284 
44,CM7831C,10,Chest,34.2,$369 ,$738 
45,CM7831F-Q,11,"Queen Bed, Fabric H/B",22.7,$409 ,$818 
46,CM7831F-CK,11,"Cal.King Bed, Fabric H/B",25.9,$457 ,$914 
47,CM7831F-EK,11,"E.King Bed, Fabric H/B",26.7,$457 ,$914 
48,CM7831F-F,11,"Full Bed, Fabric H/B",20.7,$399 ,$798 
49,CM7831N,11,Night Stand,15.1,$158 ,$316 
50,CM7831D,11,Dresser,39.8,$399 ,$798 
51,CM7831M,11,Mirror,8.2,$142 ,$284 
52,CM7831C,11,Chest,34.2,$369 ,$738 
53,CM7578Q,12,Queen Bed,27.1,$349 ,$698 
54,CM7578CK,12,Cal.King Bed,33.1,$418 ,$836 
55,CM7578EK,12,E.King Bed,33,$418 ,$836 
56,CM7578N,12,Night Stand,11.8,$118 ,$236 
57,CM7578D,12,Dresser,34.5,$269 ,$538 
58,CM7578M,12,Mirror,4.7,$62 ,$124 
59,CM7578C,12,Chest,29.5,$249 ,$498 
60,CM7697Q,13,Queen Bed,17.4,$289 ,$578 
61,CM7697CK,13,Cal.King Bed,21,$339 ,$678 
62,CM7697EK,13,E.King Bed,20.9,$339 ,$678 
63,CM7697N,13,Night Stand,7.8,$75 ,$150 
64,CM7697D,13,Dresser,31.2,$250 ,$500 
65,CM7697M,13,Mirror,3,$55 ,$110 
66,CM7697C,13,Chest,24.5,$199 ,$398 
67,CM7577Q,14,Queen Bed,19.7,$399 ,$798 
68,CM7577CK,14,Cal.King Bed,23,$438 ,$876 
69,CM7577EK,14,E.King Bed,23.8,$438 ,$876 
70,CM7576N,14,Night Stand,7.7,$119 ,$238 
71,CM7576D,14,Dresser,29.2,$339 ,$678 
72,CM7576M,14,Mirror,3.9,$92 ,$184 
73,CM7576C,14,Chest,21.8,$269 ,$538 
74,CM7577DR-Q,15,Queen Bed w/ Drawers,37.1,$539 ,"$1,078 "
75,CM7577DR-CK,15,Cal.King Bed w/ Drawers,43.8,$579 ,"$1,158 "
76,CM7577DR-EK,15,E.King Bed w/ Drawers,45.6,$579 ,"$1,158 "
