1,Item,Page 17-18,Categories,Product Type,Group Components,Feature,Short Description,Long Description,Origin,CTN,Shipping Length (Inch),Shipping Width (Inch),Shipping Height (Inch),Shipping Volume (CuFt),Shipping Weight (LB),Product Dimension (Inch),Style,Material,Material %1,Material %2,Size,Name,Reference Image,Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Summary
4207,CM-BK065-BSBL-T-BED,233,Youth,Bunk Bed,"CM-BK065-BSBL-T-1, CM-BK065-BSBL-T-2, CM-BK065-BSBL-T-3",Baseball ,"Twin/Twin Bunk Bed w/ 2 Drawers, Baseball-Theme","Furniture of America Olympic II Novelty Twin/Twin Bunk Bed w/ 2 Drawers, Baseball-Theme",,3,0,0,0,15.7,184,"80""L X 42 1/2""W X 69""H",Novelty,,,,Twin/Full,Olympic II,CM-BK065-BSBL-T.jpg,Dark Walnut,Sport-Themed Bed,Padded Ball Design On H/B,Matching Desk,"Solid Wood, Wood Veneer & Others",Dark Walnut Finish,,,,,,This twin over twin bunk bed has everything for the sports enthusiast! Constructed of solid woods and veneer the headboard and footboard feature a padded sports theme design and is finished in dark walnut. Access to the top bunk is made easy with an  attached ladder. Two drawers under the bottom bunk are included for extra storage. -
4211,CM-BK065-BSKT-T-BED,233,Youth,Bunk Bed,"CM-BK065-BSKT-T-1, CM-BK065-BSKT-T-2, CM-BK065-BSKT-T-3",Basketball,"Twin/Twin Bunk Bed w/ 2 Drawers, Basketball-Theme","Furniture of America Olympic II Novelty Twin/Twin Bunk Bed w/ 2 Drawers, Basketball-Theme",,3,0,0,0,15.7,184,"80""L X 42 1/2""W X 69""H",Novelty,,,,Twin/Full,Olympic II,CM-BK065-BSKT-T.jpg,Dark Walnut,Sport-Themed Bed,Padded Ball Design On H/B,Matching Desk,"Solid Wood, Wood Veneer & Others",Dark Walnut Finish,,,,,,This twin over twin bunk bed has everything for the sports enthusiast! Constructed of solid woods and veneer the headboard and footboard feature a padded sports theme design and is finished in dark walnut. Access to the top bunk is made easy with an  attached ladder. Two drawers under the bottom bunk are included for extra storage. -
4427,CM2527CH-BED,249,Youth,Bunk Bed,"CM2527CH-1, CM2527CH-3, CM2527CH-2",,"Twin/Twin Bunk Bed, Cherry Finish","Furniture of America Carolina Cottage Twin/Twin Bunk Bed, Cherry Finish",,3,0,0,0,11.7,154.7,"82 5/8""L X 43 3/4""W X 57 1/2""H",Cottage,,,,Twin/Twin,Carolina,CM2527CH.jpg,Cherry,Bold & Sturdy Design,4 Pc. Slatstop & Bottom,"Solid Wood, Wood Veneer & Others",Available in 2 Finishes,,,,,,,Classic and bold styling is a hallmark of this twin over twin bunk bed. Optional under bed drawers or twin trundle are available. - -
4431,CM2527OAK-BED,249,Youth,Bunk Bed,"CM2527OAK-1, CM2527OAK-2, CM2527OAK-3",,"Twin/Twin Bunk Bed, Oak Finish","Furniture of America Carolina Cottage Twin/Twin Bunk Bed, Oak Finish",,3,0,0,0,11.7,154.7,"82 5/8""L X 43 3/4""W X 57 1/2""H",Cottage,,,,Twin/Twin,Carolina,CM2527OAK.jpg,Oak,Bold & Sturdy Design,4 Pc. Slatstop & Bottom,"Solid Wood, Wood Veneer & Others",Available in 2 Finishes,,,,,,,Classic and bold styling is a hallmark of this twin over twin bunk bed. Optional under bed drawers or twin trundle are available. - -
4345,CM-BK001F-BED,242,Youth,Bunk Bed,"CM-BK001F-HB-FB, CM-BK001F-R",,Twin/Full Bunk Bed,Furniture of America Radcliff Cottage Twin/Full Bunk Bed,,2,0,0,0,25.1,171.6,"81""L X 58""W X 72""H",Cottage,,,,Twin/Full,Radcliff,CM-BK001F.jpg,Brown Cherry,Angled Ladder,"Solid Wood, Wood Veneer & Others",12 Pc. Slats Top & Bottom,Brown Cherry Finish,,,,,,,Classic styling and extra sleeping space make this bunk bed great for families. The twin over twin or twin or full style also accommodates an optional trundle bed and easy access ladder. Finished in brown cherry. - -
4348,CM-BK001T-BED,242,Youth,Bunk Bed,"CM-BK001T-HB-FB, CM-BK001T-R",,Twin/Twin Bunk Bed,Furniture of America Radcliff Cottage Twin/Twin Bunk Bed,,2,0,0,0,20.9,162.8,"81""L X 43 3/4""W X 72""H",Cottage,,,,Twin/Twin,Radcliff,CM-BK001T.jpg,Brown Cherry,Angled Ladder,"Solid Wood, Wood Veneer & Others",12 Pc. Slats Top & Bottom,Brown Cherry Finish,,,,,,,Classic styling and extra sleeping space make this bunk bed great for families. The twin over twin or twin or full style also accommodates an optional trundle bed and easy access ladder. Finished in brown cherry. - -
3921,CM-BK025F,206,Youth,Bunk Bed,,,Full/Full Bunk Bed,Furniture of America ORIA Contemporary Full/Full Bunk Bed,CN,1,76.5,60.5,6.8,18.1,136,"78 3/8""L X 57 3/8""W X 65 1/8""H",Contemporary,,,,Full/Full Bunk Bed,ORIA,CM-BK025F.jpg,Dark Bronze,Industrial Inspired Design,Attached Ladder,Available in 2 Sizes,Full Metal Construction,Dark Bronze,,,,,,"The simple structure of this bunk bed takes advantage of the full metal construction to showcase an industrious vibe and provide peace of mind. The dark bronze coloring adds emphasis to the metal framework and draws attention to the spindle accents r unning along both ends. An attached ladder makes it easy to access the guarded top bunk, ensuring a safe and secure sleeping environment for both bunks. -"
3922,CM-BK025T,206,Youth,Bunk Bed,,,Twin/Twin Bunk Bed,Furniture of America ORIA Contemporary Twin/Twin Bunk Bed,CN,1,76.5,46.5,6.8,13.9,107.4,"78 3/8""L X 42 5/8""W X 65 1/8""H",Contemporary,,,,Twin/Twin Bunk Bed,ORIA,CM-BK025T.jpg,Dark Bronze,Industrial Inspired Design,Attached Ladder,Available in 2 Sizes,Full Metal Construction,Dark Bronze,,,,,,"The simple structure of this bunk bed takes advantage of the full metal construction to showcase an industrious vibe and provide peace of mind. The dark bronze coloring adds emphasis to the metal framework and draws attention to the spindle accents r unning along both ends. An attached ladder makes it easy to access the guarded top bunk, ensuring a safe and secure sleeping environment for both bunks. -"
3899,CM-BK029FF,203,Youth,Bunk Bed,,,Full/Full Bunk Bed,Furniture of America CLAPTON Industrial Full/Full Bunk Bed,CN,1,76.3,58,6.3,16,167,"79""L X 55 3/4""W X 66 1/2""H",Industrial,"Metal, Wood",,,Full/Full Bunk Bed,CLAPTON,CM-BK029FF.jpg,Black,Industrial Inspired Design,Attached Ladder,Nailhead Accents,Wood Panels,Available in 5 Sizes,Full Metal Construction,Black,,,,"Inspire a utilitarian lifestyle with this industrial styled bunk bed. The combination of metal and wood is a beautiful blend of man and earth, bringing both cold and warm elements to the bedroom. The guarded top bunk offers a sense of peace and can e asily be accessed by the built-in side ladder. Five various layouts ensure the perfect fit for you and your household. -"
3901,CM-BK029TF,203,Youth,Bunk Bed,,,Twin/Full Bunk Bed,Furniture of America CLAPTON Industrial Twin/Full Bunk Bed,CN,1,76.3,57.5,5.3,13.3,154,"77 3/4""L X 54 7/8""W X 66 1/2""H",Industrial,"Metal, Wood",,,Twin/Full Bunk Bed,CLAPTON,CM-BK029TF.jpg,Black,Industrial Inspired Design,Attached Ladder,Nailhead Accents,Wood Panels,Available in 5 Sizes,Full Metal Construction,Black,,,,"Inspire a utilitarian lifestyle with this industrial styled bunk bed. The combination of metal and wood is a beautiful blend of man and earth, bringing both cold and warm elements to the bedroom. The guarded top bunk offers a sense of peace and can e asily be accessed by the built-in side ladder. Five various layouts ensure the perfect fit for you and your household. -"
